"Codgeo";"ZInter_fact_40000"
"02370";"Reg_32_87"
"02371";"Reg_32_25"
"02372";"Reg_32_80"
"02373";"Reg_I1_17"
"02374";"Reg_32_78"
"02375";"Reg_I1_5"
"02376";"Reg_I1_17"
"02377";"Reg_I1_17"
"02378";"Reg_32_76"
"02379";"Reg_I1_17"
"02380";"Reg_32_72"
"02381";"Reg_I1_17"
"02382";"Reg_32_78"
"02383";"Reg_32_25"
"02384";"Reg_I1_17"
"02385";"Reg_I1_17"
"02386";"Reg_I1_17"
"02387";"Reg_32_71"
"02388";"Reg_I1_17"
"02389";"Reg_I1_16"
"02390";"Reg_32_78"
"02391";"Reg_I1_17"
"02392";"Reg_32_71"
"02393";"Reg_I1_13"
"02395";"Reg_32_80"
"02396";"Reg_I1_13"
"02397";"Reg_32_71"
"02398";"Reg_32_80"
"02399";"Reg_I1_13"
"02400";"Reg_32_80"
"02401";"Reg_32_76"
"02402";"Reg_32_78"
"02403";"Reg_I1_17"
"02404";"Reg_32_76"
"02405";"Reg_32_76"
"02406";"Reg_32_80"
"02407";"Reg_32_80"
"02408";"Reg_I1_59"
"02409";"Reg_I1_17"
"02410";"Reg_I1_22"
"02411";"Reg_I1_5"
"02412";"Reg_32_80"
"02413";"Reg_I1_59"
"02414";"Reg_I1_17"
"02415";"Reg_32_80"
"02416";"Reg_I1_17"
"02417";"Reg_32_71"
"02418";"Reg_32_76"
"02419";"Reg_I1_17"
"02420";"Reg_32_71"
"02421";"Reg_32_80"
"02422";"Reg_I1_17"
"02423";"Reg_32_80"
"02424";"Reg_32_80"
"02425";"Reg_I1_17"
"02426";"Reg_32_71"
"02427";"Reg_I1_13"
"02428";"Reg_I1_5"
"02429";"Reg_I1_59"
"02430";"Reg_I1_13"
"02431";"Reg_32_72"
"02432";"Reg_I1_13"
"02433";"Reg_I1_17"
"02434";"Reg_32_80"
"02435";"Reg_I1_17"
"02438";"Reg_32_80"
"02439";"Reg_I1_13"
"02440";"Reg_I1_37"
"02441";"Reg_32_80"
"02442";"Reg_I1_13"
"02443";"Reg_I1_5"
"02444";"Reg_I1_17"
"02445";"Reg_32_76"
"02446";"Reg_32_71"
"02447";"Reg_32_80"
"02448";"Reg_I1_17"
"02449";"Reg_I1_5"
"02450";"Reg_I1_17"
"02451";"Reg_32_71"
"02452";"Reg_32_78"
"02453";"Reg_I1_13"
"02454";"Reg_I1_17"
"02455";"Reg_I1_17"
"02456";"Reg_32_18"
"02457";"Reg_I1_13"
"02458";"Reg_I1_49"
"02459";"Reg_I1_17"
"02460";"Reg_I1_13"
"02461";"Reg_32_18"
"02462";"Reg_I1_13"
"02463";"Reg_I1_17"
"02464";"Reg_32_80"
"02465";"Reg_I1_5"
"02466";"Reg_32_80"
"02467";"Reg_32_80"
"02468";"Reg_I1_17"
"02469";"Reg_I1_17"
"02470";"Reg_I1_17"
"02471";"Reg_I1_59"
"02472";"Reg_I1_13"
"02473";"Reg_32_72"
"02474";"Reg_32_18"
"02475";"Reg_I1_37"
"02476";"Reg_I1_17"
"02477";"Reg_32_80"
"02478";"Reg_I1_59"
"02480";"Reg_32_72"
"02481";"Reg_32_71"
"02482";"Reg_I1_13"
"02483";"Reg_32_72"
"02484";"Reg_I1_49"
"02485";"Reg_32_80"
"02486";"Reg_I1_13"
"02487";"Reg_32_80"
"02488";"Reg_32_71"
"02489";"Reg_32_80"
"02490";"Reg_I1_59"
"02491";"Reg_I1_17"
"02492";"Reg_32_72"
"02493";"Reg_I1_13"
"02494";"Reg_I1_17"
"02495";"Reg_32_76"
"02496";"Reg_I1_5"
