"Codgeo";"ZInter_fact70_40000"
"02341";"Reg_I1_15"
"02342";"Reg_32_26"
"02343";"Reg_32_22"
"02344";"Reg_I1_54"
"02345";"Reg_32_22"
"02346";"Reg_I1_54"
"02347";"Reg_I1_46"
"02349";"Reg_I1_54"
"02350";"Reg_I1_54"
"02351";"Reg_I1_14"
"02352";"Reg_32_22"
"02353";"Reg_I1_54"
"02354";"Reg_I1_15"
"02355";"Reg_32_22"
"02356";"Reg_I1_46"
"02357";"Reg_I1_15"
"02358";"Reg_I1_15"
"02359";"Reg_32_25"
"02360";"Reg_I1_32"
"02361";"Reg_I1_15"
"02362";"Reg_32_18"
"02363";"Reg_32_18"
"02364";"Reg_I1_20"
"02366";"Reg_I1_15"
"02367";"Reg_32_22"
"02368";"Reg_I1_17"
"02369";"Reg_I1_15"
"02370";"Reg_32_22"
"02371";"Reg_32_25"
"02372";"Reg_32_18"
"02373";"Reg_I1_15"
"02374";"Reg_32_22"
"02375";"Reg_I1_4"
"02376";"Reg_I1_15"
"02377";"Reg_I1_15"
"02378";"Reg_32_26"
"02379";"Reg_I1_15"
"02380";"Reg_32_22"
"02381";"Reg_I1_15"
"02382";"Reg_32_22"
"02383";"Reg_32_25"
"02384";"Reg_I1_15"
"02385";"Reg_I1_15"
"02386";"Reg_I1_15"
"02387";"Reg_32_22"
"02388";"Reg_I1_15"
"02389";"Reg_I1_14"
"02390";"Reg_32_22"
"02391";"Reg_I1_15"
"02392";"Reg_32_22"
"02393";"Reg_I1_46"
"02395";"Reg_32_18"
"02396";"Reg_I1_54"
"02397";"Reg_32_22"
"02398";"Reg_32_18"
"02399";"Reg_I1_54"
"02400";"Reg_32_18"
"02401";"Reg_32_26"
"02402";"Reg_32_22"
"02403";"Reg_I1_15"
"02404";"Reg_32_26"
"02405";"Reg_32_26"
"02406";"Reg_32_18"
"02407";"Reg_32_18"
"02408";"Reg_I1_54"
"02409";"Reg_I1_15"
"02410";"Reg_I1_17"
"02411";"Reg_I1_4"
"02412";"Reg_32_18"
"02413";"Reg_I1_54"
"02414";"Reg_I1_15"
"02415";"Reg_32_18"
"02416";"Reg_I1_15"
"02417";"Reg_32_22"
"02418";"Reg_32_26"
"02419";"Reg_I1_15"
"02420";"Reg_32_22"
"02421";"Reg_32_18"
"02422";"Reg_I1_15"
"02423";"Reg_32_18"
"02424";"Reg_32_18"
"02425";"Reg_I1_15"
"02426";"Reg_32_22"
"02427";"Reg_I1_46"
"02428";"Reg_I1_4"
"02429";"Reg_I1_54"
"02430";"Reg_I1_54"
"02431";"Reg_32_22"
"02432";"Reg_I1_46"
"02433";"Reg_I1_15"
"02434";"Reg_32_18"
"02435";"Reg_I1_15"
"02438";"Reg_32_18"
"02439";"Reg_I1_46"
"02440";"Reg_I1_32"
"02441";"Reg_32_18"
"02442";"Reg_I1_46"
